DATE,Station_ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,Station_Location,Station_Lat_Long_Interaction,Day_of_Week,Day_of_Year,Month,Temp_Diff,Rolling_Mean_TMIN_7,Rolling_10thPercentile_TMIN_7,Rolling_Mean_TMIN_30,Rolling_Max_TMIN_30,Rolling_Min_TMIN_30,TMIN_Rolling_30_Diff,EWMA_TMIN_7,EWMA_TMIN_30,Seasonal_TMIN_Anomaly,TMIN_Lag1,SnowyDay,SnowyDaysCount_7,Cumulative_SnowDepth_7,Rolling_Sum_SNWD_7,SNWD_Lag1,SNWD_Lag2,Cumulative_Snowfall_Lag7,SNWD_TMIN_Interaction,Snowfall_Intensity,SNWD_Snowfall_Diff,PRCP_Lag1,PRCP_Lag2,Cumulative_Precipitation_7,Rolling_Sum_PRCP_14,TMAX_PRCP_Interaction,TMIN_SNOW_Interaction,PRCP_SNOW_Interaction,Cold_Event
2008-07-11,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,27.2,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,193,7,13.9,16.9,13.96,16.22,20.6,12.8,-2.92,16.76,16.02,-2.09,20.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.3,27.7,0.0,0.0,0.0,1
2008-07-12,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.7,26.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,194,7,10.0,16.99,13.96,16.26,20.6,12.8,0.44,16.75,16.07,0.58,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,27.7,0.0,0.0,0.0,0
2008-07-13,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,6,195,7,12.2,17.23,14.68,16.25,20.6,12.8,-0.15,16.59,16.07,-0.88,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,27.7,0.0,0.0,0.0,0
2008-07-14,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,20.6,30.0,0.3,0.0,0.0,42.8267_-71.6261,-3067.51,0,196,7,9.4,17.94,14.98,16.56,20.6,12.8,4.04,17.59,16.36,3.75,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,28.0,9.0,0.0,0.0,0
2008-07-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,27.2,1.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,197,7,13.9,17.23,13.3,16.34,20.6,12.8,-3.04,16.52,16.17,-3.01,20.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.6,29.0,27.2,0.0,0.0,0
2008-07-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.2,30.0,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,198,7,17.8,16.11,12.86,16.08,20.6,12.2,-3.88,15.44,15.91,-4.36,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,4.6,29.0,0.0,0.0,0.0,1
2008-07-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,31.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,199,7,16.1,15.4,12.86,16.05,20.6,12.2,-0.45,15.48,15.89,-1.22,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,20.9,0.0,0.0,0.0,0
2008-07-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,31.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,200,7,16.1,15.73,12.86,16.03,20.6,12.2,-0.43,15.51,15.87,-2.21,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.6,0.0,0.0,0.0,0
2008-07-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,33.9,6.4,0.0,0.0,42.8267_-71.6261,-3067.51,5,201,7,16.1,15.89,12.86,16.12,20.6,12.2,1.68,16.08,16.0,1.1,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,11.0,216.96,0.0,0.0,0
2008-07-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.92,32.1,0.3,0.0,0.0,42.8267_-71.6261,-3067.51,6,202,7,14.18,16.15,12.86,16.21,20.6,12.2,1.71,16.54,16.12,1.57,17.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,8.0,11.3,9.63,0.0,0.0,0
2008-07-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.05,30.3,50.8,0.0,0.0,42.8267_-71.6261,-3067.51,0,203,7,12.25,15.78,12.86,16.3,20.6,12.2,1.75,16.92,16.24,1.92,17.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.4,58.5,62.1,1539.24,0.0,0.0,0
2008-07-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.18,28.5,24.9,0.0,0.0,42.8267_-71.6261,-3067.51,1,204,7,10.32,16.48,14.24,16.38,20.6,12.2,1.8,17.23,16.37,1.55,18.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0.3,82.4,87.0,709.65,0.0,0.0,0
2008-07-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.3,26.7,4.1,0.0,0.0,42.8267_-71.6261,-3067.51,2,205,7,8.4,17.35,15.6,16.47,20.6,12.2,1.83,17.5,16.49,1.39,18.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,50.8,86.5,91.1,109.47,0.0,0.0,0
2008-07-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,20.0,32.5,0.0,0.0,42.8267_-71.6261,-3067.51,3,206,7,2.2,17.66,16.92,16.52,20.6,12.2,1.28,17.58,16.58,0.77,18.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,24.9,119.0,120.3,650.0,0.0,0.0,0
2008-07-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.2,23.3,41.4,0.0,0.0,42.8267_-71.6261,-3067.51,4,207,7,6.1,17.89,17.56,16.55,20.6,12.2,0.65,17.48,16.62,1.14,17.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,4.1,160.4,161.7,964.62,0.0,0.0,1
2008-07-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.9,29.4,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,208,7,15.5,17.34,15.88,16.45,20.6,12.2,-2.55,16.59,16.44,-1.55,17.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,32.5,154.0,161.7,0.0,0.0,0.0,1
2008-07-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.7,30.0,10.9,0.0,0.0,42.8267_-71.6261,-3067.51,6,209,7,13.3,17.16,15.58,16.46,20.6,12.2,0.24,16.61,16.46,1.08,13.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,164.6,172.6,327.0,0.0,0.0,0
2008-07-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.9,26.7,27.9,0.0,0.0,42.8267_-71.6261,-3067.51,0,210,7,12.8,16.57,13.9,16.37,20.6,12.2,-2.47,15.94,16.29,-1.95,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,141.7,200.2,744.93,0.0,0.0,0
2008-07-29,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,14.4,27.8,2.3,0.0,0.0,42.8267_-71.6261,-3067.51,1,211,7,13.4,16.03,13.9,16.3,20.6,12.2,-1.9,15.55,16.17,-2.25,13.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,10.9,119.1,201.5,63.94,0.0,0.0,0
2008-07-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,28.9,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,212,7,13.3,15.64,13.9,16.27,20.6,12.2,-0.67,15.56,16.13,-0.14,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,27.9,115.0,201.5,0.0,0.0,0.0,0
2008-07-31,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,28.9,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,213,7,11.1,15.64,13.9,16.35,20.6,12.2,1.45,16.12,16.24,3.35,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,82.5,201.5,0.0,0.0,0.0,0
2008-08-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.2,29.4,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,214,8,12.2,15.64,13.9,16.4,20.6,12.2,0.8,16.39,16.3,1.75,17.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,201.5,0.0,0.0,0.0,0
2008-08-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,18.3,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,215,8,10.0,16.27,14.2,16.58,20.6,12.2,1.72,16.87,16.43,2.94,17.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,195.1,0.0,0.0,0.0,0
2008-08-03,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.8,25.6,0.8,0.0,0.0,42.8267_-71.6261,-3067.51,6,216,8,7.8,16.43,14.2,16.64,20.6,12.2,1.16,17.1,16.52,2.59,18.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,195.6,20.48,0.0,0.0,0
2008-08-04,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,25.6,14.7,0.0,0.0,42.8267_-71.6261,-3067.51,0,217,8,9.5,16.74,15.12,16.64,20.6,12.2,-0.54,16.85,16.49,0.02,17.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,17.8,159.5,376.32,0.0,0.0,0
2008-08-05,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,17.2,27.2,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,218,8,10.0,17.14,15.9,16.74,20.6,12.2,0.46,16.94,16.54,1.59,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.8,15.5,134.6,0.0,0.0,0.0,0
2008-08-06,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.7,23.9,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,219,8,7.2,17.3,16.46,16.77,20.6,12.2,-0.07,16.88,16.55,1.6,17.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,15.5,130.5,0.0,0.0,0.0,0
2008-08-07,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,18.9,26.7,0.0,0.0,42.8267_-71.6261,-3067.51,3,220,8,2.8,17.06,16.1,16.7,20.6,12.2,-0.6,16.68,16.52,1.67,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,124.7,504.63,0.0,0.0,0
2008-08-08,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,23.3,2.3,0.0,0.0,42.8267_-71.6261,-3067.51,4,221,8,7.2,16.9,16.1,16.57,20.6,12.2,-0.47,16.54,16.49,0.96,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,44.5,85.6,53.59,0.0,0.0,0
2008-08-09,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.6,24.4,0.3,0.0,0.0,42.8267_-71.6261,-3067.51,5,222,8,8.8,16.51,15.9,16.4,20.6,12.2,-0.8,16.3,16.44,-0.02,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,26.7,44.8,85.9,7.32,0.0,0.0,1
2008-08-10,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.9,26.1,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,6,223,8,12.2,15.96,14.92,16.42,20.6,12.2,-2.52,15.7,16.27,-2.25,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.3,44.0,75.0,0.0,0.0,0.0,1
2008-08-11,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.0,26.7,5.8,0.0,0.0,42.8267_-71.6261,-3067.51,0,224,8,11.7,15.8,14.56,16.36,20.6,12.2,-1.36,15.53,16.19,-0.45,13.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,35.1,52.9,154.86,0.0,0.0,0
2008-08-12,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.0,18.9,8.1,0.0,0.0,42.8267_-71.6261,-3067.51,1,225,8,3.9,15.49,14.56,16.33,20.6,12.2,-1.33,15.4,16.11,-1.15,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,43.2,58.7,153.09,0.0,0.0,0
2008-08-13,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.2,22.2,6.4,0.0,0.0,42.8267_-71.6261,-3067.51,2,226,8,10.0,14.84,13.22,16.05,18.3,12.2,-3.85,14.6,15.86,-3.82,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,5.8,49.6,65.1,142.08,0.0,0.0,1
2008-08-14,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,26.1,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,227,8,12.8,14.44,12.86,16.05,18.3,12.2,-2.75,14.27,15.7,-1.37,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,8.1,22.9,65.1,0.0,0.0,0.0,0
2008-08-15,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,12.8,26.1,2.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,228,8,13.3,13.97,12.56,16.07,18.3,12.2,-3.27,13.9,15.51,-1.68,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,22.6,67.1,52.2,0.0,0.0,0
2008-08-16,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.9,26.1,0.8,0.0,0.0,42.8267_-71.6261,-3067.51,5,229,8,12.2,13.73,12.56,16.01,18.3,12.2,-2.11,13.9,15.41,-0.62,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.1,67.9,20.88,0.0,0.0,0
2008-08-17,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,24.4,5.8,0.0,0.0,42.8267_-71.6261,-3067.51,6,230,8,11.1,13.64,12.56,15.94,18.3,12.2,-2.64,13.75,15.27,-1.7,13.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,28.9,72.9,141.52,0.0,0.0,0
2008-08-18,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,15.0,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,0,231,8,13.3,13.64,12.56,15.84,18.3,12.2,-0.84,14.06,15.25,-0.39,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.8,23.1,58.2,0.0,0.0,0.0,0
2008-08-19,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,16.1,29.4,1.3,0.0,0.0,42.8267_-71.6261,-3067.51,1,232,8,13.3,13.8,12.56,15.78,18.3,12.2,0.32,14.57,15.31,0.75,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,16.3,59.5,38.22,0.0,0.0,0
2008-08-20,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,8.3,21.1,0.3,0.0,0.0,42.8267_-71.6261,-3067.51,2,233,8,12.8,13.24,11.0,15.46,18.3,8.3,-7.16,13.0,14.85,-6.18,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,10.2,59.8,6.33,0.0,0.0,1
2008-08-21,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,9.4,22.8,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,234,8,13.4,12.69,8.96,15.16,18.3,8.3,-5.76,12.1,14.5,-4.42,8.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,10.2,33.1,0.0,0.0,0.0,0
2008-08-22,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,11.7,26.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,235,8,15.0,12.53,8.96,14.94,18.3,8.3,-3.24,12.0,14.32,-2.88,9.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.2,30.8,0.0,0.0,0.0,0
2008-08-23,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,28.3,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,236,8,15.0,12.44,8.96,14.79,18.3,8.3,-1.49,12.33,14.26,-1.56,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,30.5,0.0,0.0,0.0,0
2008-08-24,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,11.7,27.8,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,6,237,8,16.1,12.21,8.96,14.61,18.3,8.3,-2.91,12.17,14.09,-1.73,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,30.5,0.0,0.0,0.0,0
2008-08-25,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,13.3,26.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,0,238,8,13.4,11.97,8.96,14.59,18.3,8.3,-1.29,12.45,14.04,-0.72,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,24.7,0.0,0.0,0.0,0
2008-08-26,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,10.55,28.9,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,239,8,18.35,11.18,8.96,14.38,18.3,8.3,-3.83,11.98,13.81,-3.39,13.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,16.6,0.0,0.0,0.0,0
2008-08-27,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,7.8,22.2,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,240,8,14.4,11.11,8.76,14.18,18.3,7.8,-6.38,10.93,13.43,-5.54,10.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,1
2008-08-28,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,8.9,26.1,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,241,8,17.2,11.04,8.46,14.0,18.3,7.8,-5.1,10.42,13.13,-4.82,7.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0
2008-08-29,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,11.1,24.4,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,4,242,8,13.3,10.95,8.46,13.85,18.3,7.8,-2.75,10.59,13.0,-2.46,8.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0
2008-08-30,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,11.7,25.6,2.0,0.0,0.0,42.8267_-71.6261,-3067.51,5,243,8,13.9,10.72,8.46,13.65,18.3,7.8,-1.95,10.87,12.92,-1.07,11.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.4,51.2,0.0,0.0,0
2008-08-31,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Summer,11.7,27.2,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,6,244,8,15.5,10.72,8.46,13.46,18.3,7.8,-1.76,11.08,12.84,-1.64,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.6,0.0,0.0,0.0,0
2008-09-01,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Fall,10.0,26.1,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,0,245,9,16.1,10.25,8.46,13.18,17.8,7.8,-3.19,10.81,12.66,-3.24,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.6,0.0,0.0,0.0,0
2008-09-02,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Fall,10.6,27.8,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,1,246,9,17.2,10.26,8.46,12.94,17.2,7.8,-2.35,10.76,12.52,-1.91,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,0.0,0.0,0.0,0
2008-09-03,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Fall,12.2,26.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,2,247,9,14.5,10.89,9.56,12.82,17.2,7.8,-0.62,11.12,12.5,-0.08,10.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0
2008-09-04,USC00272302,42.8267,-71.6261,73.2,NH E MILFORD,Fall,12.2,26.7,0.0,0.0,0.0,42.8267_-71.6261,-3067.51,3,248,9,14.5,11.36,10.36,12.65,16.7,7.8,-0.45,11.39,12.48,-0.57,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0
