DATE,ID,LATITUDE,LONGITUDE,ELEVATION,NAME,Season,TMIN,TMAX,PRCP,SNOW,SNWD,Week,TMIN_10thPercentile_Week,Temp_Diff,SnowyDay,SNWD_Lag1,SNWD_Lag2,SnowyDaysCount_7,Cumulative_SnowDepth_7,PRCP_Lag1,PRCP_Lag2,Cumulative_Precipitation_7,Rolling_Mean_TMIN_7,Rolling_10thPercentile_TMIN_7,Day_of_Week,Day_of_Year,SNWD_TMIN_Interaction,Snowfall_Intensity,Seasonal_TMIN_Deviation,Rolling_Mean_TMIN_30,TMIN_Rolling_30_Diff,EWMA_TMIN_7,Previous_Season_TMIN,Rolling_Sum_PRCP_14,Cumulative_Snowfall_Lag7,TMIN_SNOW_Interaction,TMAX_PRCP_Interaction,Seasonal_TMIN_Anomaly,Days_Since_Last_Precip,Rolling_Max_TMIN_30,Rolling_Min_TMIN_30,EWMA_TMIN_30,SNWD_Snowfall_Diff,TMIN_Lag1,TMAX_Lag1,SNOW_Lag1,Rolling_Sum_SNWD_7
1948-01-11,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-30.0,-8.3,0.0,0.0,762.0,2,-30.6,21.7,0,762.0,762.0,3.0,5259.0,0.0,5.3,6.1,-20.96,-30.88,6,11,-22860.0,0.0,-11.91,-21.94,-2.46,-23.13,-32.2,21.2,145.0,-0.0,-0.0,-10.58,2.0,-11.1,-33.9,-17.08,762.0,-32.2,-18.9,0.0,5259.0
1948-01-12,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-12.8,-7.8,2.0,30.0,762.0,3,-30.95,5.0,1,762.0,762.0,4.0,5284.0,0.0,0.0,8.1,-21.11,-30.88,0,12,-9753.6,0.04,5.29,-21.94,-2.46,-20.55,-30.0,21.2,145.0,-384.0,-15.6,5.77,3.0,-11.1,-33.9,-16.81,761.96,-30.0,-8.3,0.0,5284.0
1948-01-13,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-13.3,-7.2,1.3,25.0,762.0,3,-30.95,6.1,1,762.0,762.0,4.0,5309.0,2.0,0.0,9.1,-21.03,-30.88,1,13,-10134.6,0.03,4.79,-21.94,-2.46,-18.74,-12.8,21.2,145.0,-332.5,-9.36,4.63,1.0,-11.1,-33.9,-16.58,761.97,-12.8,-7.8,30.0,5309.0
1948-01-14,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-28.9,-13.3,0.3,3.0,762.0,3,-30.95,15.6,1,762.0,762.0,4.0,5334.0,1.3,2.0,8.9,-22.46,-30.88,2,14,-22021.8,0.0,-10.81,-21.94,-2.46,-21.28,-13.3,21.2,145.0,-86.7,-3.99,-9.99,1.0,-11.1,-33.9,-17.38,762.0,-13.3,-7.2,25.0,5334.0
1948-01-15,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-32.8,-21.1,0.0,0.0,762.0,3,-30.95,11.7,0,762.0,762.0,4.0,5334.0,0.3,1.3,8.9,-24.29,-32.44,3,15,-24993.6,0.0,-14.71,-21.94,-2.46,-24.16,-28.9,21.2,145.0,-0.0,-0.0,-13.03,1.0,-11.1,-33.9,-18.37,762.0,-28.9,-13.3,3.0,5334.0
1948-01-16,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-24.4,-14.4,2.3,23.0,762.0,3,-30.95,10.0,1,762.0,762.0,4.0,5334.0,0.0,0.3,5.9,-24.91,-32.44,4,16,-18592.8,0.03,-6.31,-21.94,-2.46,-24.22,-32.8,13.8,115.0,-561.2,-33.12,-3.66,2.0,-11.1,-33.9,-18.76,761.97,-32.8,-21.1,0.0,5334.0
1948-02-01,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-15.6,-11.7,0.0,0.0,838.0,5,-28.9,3.9,0,762.0,762.0,4.0,5410.0,2.3,0.0,5.9,-22.54,-31.12,6,32,-13072.8,0.0,2.49,-21.94,-2.46,-22.06,-24.4,12.0,97.0,-0.0,-0.0,3.45,2.0,-11.1,-33.9,-18.56,838.0,-24.4,-14.4,23.0,5410.0
1948-02-02,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-17.8,-13.9,0.5,8.0,838.0,6,-30.0,3.9,1,838.0,762.0,5.0,5486.0,0.0,2.3,6.4,-20.8,-30.46,0,33,-14916.4,0.01,0.29,-21.94,-2.46,-21.0,-15.6,12.5,97.0,-142.4,-6.95,1.13,17.0,-11.1,-33.9,-18.51,837.99,-15.6,-11.7,0.0,5486.0
1948-02-03,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-31.1,-16.7,0.0,0.0,838.0,6,-30.0,14.4,0,838.0,838.0,4.0,5562.0,0.5,0.0,4.4,-23.41,-31.78,1,34,-26061.8,0.0,-13.01,-21.94,-2.46,-23.52,-17.8,12.5,127.0,-0.0,-0.0,-11.71,17.0,-11.1,-33.9,-19.32,838.0,-17.8,-13.9,8.0,5562.0
1948-02-04,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-31.1,-18.9,0.3,8.0,838.0,6,-30.0,12.2,1,838.0,838.0,4.0,5638.0,0.0,0.5,3.4,-25.96,-31.78,2,35,-26061.8,0.01,-13.01,-21.94,-2.46,-25.42,-31.1,12.5,132.0,-248.8,-5.67,-11.4,2.0,-11.1,-33.9,-20.08,837.99,-31.1,-16.7,0.0,5638.0
1948-02-05,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-21.1,-17.2,0.8,13.0,838.0,6,-30.0,3.9,1,838.0,838.0,4.0,5714.0,0.3,0.0,3.9,-24.84,-31.78,3,36,-17681.8,0.02,-3.01,-21.94,-2.46,-24.34,-31.1,12.8,122.0,-274.3,-13.76,-0.69,1.0,-11.1,-33.9,-20.15,837.98,-31.1,-18.9,8.0,5714.0
1948-02-06,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-23.3,-16.7,0.0,0.0,838.0,6,-30.0,6.6,0,838.0,838.0,4.0,5790.0,0.8,0.3,3.9,-23.49,-31.1,4,37,-19525.4,0.0,-5.21,-21.94,-2.46,-24.08,-21.1,12.8,122.0,-0.0,-0.0,-3.22,1.0,-11.1,-33.9,-20.35,838.0,-21.1,-17.2,13.0,5790.0
1948-02-07,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-23.3,-13.3,1.0,20.0,838.0,6,-30.0,10.0,1,838.0,838.0,4.0,5866.0,0.0,0.8,2.6,-23.33,-31.1,5,38,-19525.4,0.02,-5.21,-21.94,-2.46,-23.88,-23.3,8.5,81.0,-466.0,-13.3,-4.01,2.0,-11.1,-33.9,-20.54,837.98,-23.3,-16.7,0.0,5866.0
1948-02-08,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-31.7,-12.8,1.5,23.0,864.0,6,-30.0,18.9,1,838.0,838.0,5.0,5892.0,1.0,0.0,4.1,-25.63,-31.34,6,39,-27388.8,0.03,-13.61,-21.94,-2.46,-25.84,-23.3,10.0,81.0,-729.1,-19.2,-11.15,1.0,-11.1,-33.9,-21.26,863.97,-23.3,-13.3,20.0,5892.0
1948-02-09,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-33.9,-26.1,0.0,0.0,838.0,7,-30.6,7.8,0,864.0,838.0,4.0,5892.0,1.5,1.0,3.6,-27.93,-32.58,0,40,-28408.2,0.0,-15.81,-21.94,-2.46,-27.85,-31.7,10.0,89.0,-0.0,-0.0,-13.87,1.0,-11.1,-33.9,-22.08,838.0,-31.7,-12.8,23.0,5892.0
1948-02-10,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-26.1,-19.4,0.0,0.0,838.0,7,-30.6,6.7,0,838.0,864.0,4.0,5892.0,0.0,1.5,3.6,-27.21,-32.58,1,41,-21871.8,0.0,-8.01,-21.94,-2.46,-27.42,-33.9,8.0,59.0,-0.0,-0.0,-6.74,1.0,-11.1,-33.9,-22.33,838.0,-33.9,-26.1,0.0,5892.0
1948-02-11,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-23.3,-10.6,2.5,25.0,838.0,7,-30.6,12.7,1,838.0,838.0,4.0,5892.0,0.0,0.0,5.8,-26.1,-32.58,2,42,-19525.4,0.03,-5.21,-21.94,-2.46,-26.39,-26.1,9.2,42.0,-582.5,-26.5,-3.74,3.0,-11.1,-33.9,-22.4,837.97,-26.1,-19.4,0.0,5892.0
1948-02-12,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-21.7,-11.1,0.8,13.0,864.0,7,-30.6,10.6,1,838.0,838.0,4.0,5918.0,2.5,0.0,5.8,-26.19,-32.58,3,43,-18748.8,0.02,-3.61,-21.94,-2.46,-25.21,-23.3,9.7,52.0,-282.1,-8.88,-0.71,1.0,-11.1,-33.9,-22.35,863.98,-23.3,-10.6,25.0,5918.0
1948-02-13,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-19.4,-1.1,2.0,10.0,864.0,7,-30.6,18.3,1,864.0,838.0,5.0,5944.0,0.8,2.5,7.8,-25.63,-32.58,4,44,-16761.6,0.01,-1.31,-21.94,-2.46,-23.76,-21.7,11.7,52.0,-194.0,-2.2,1.77,1.0,-11.1,-33.9,-22.16,863.99,-21.7,-11.1,13.0,5944.0
1948-02-14,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-24.4,2.8,65.5,0.0,635.0,7,-30.6,27.2,0,864.0,864.0,4.0,5741.0,2.0,0.8,72.3,-25.79,-32.58,5,45,-15494.0,0.0,-6.31,-21.94,-2.46,-23.92,-19.4,74.9,49.0,-0.0,183.4,-3.27,1.0,-11.1,-33.9,-22.31,635.0,-19.4,-1.1,10.0,5741.0
1948-02-15,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-30.6,-24.4,0.0,0.0,635.0,7,-30.6,6.2,0,635.0,864.0,3.0,5512.0,65.5,2.0,70.8,-25.63,-31.92,6,46,-19431.0,0.0,-12.51,-22.48,-8.12,-25.59,-24.4,74.9,72.0,-0.0,-0.0,-11.36,1.0,-11.1,-33.9,-22.84,635.0,-24.4,2.8,0.0,5512.0
1948-02-16,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-24.4,-5.6,0.0,0.0,635.0,8,-27.2,18.8,0,635.0,635.0,3.0,5309.0,0.0,65.5,70.8,-24.27,-27.9,0,47,-15494.0,0.0,-6.31,-22.77,-1.63,-25.29,-30.6,74.4,64.0,-0.0,-0.0,-5.26,1.0,-11.1,-33.9,-22.94,635.0,-30.6,-24.4,0.0,5309.0
1948-02-17,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-12.8,-3.9,0.0,0.0,635.0,8,-27.2,8.9,0,635.0,635.0,3.0,5106.0,0.0,0.0,70.8,-22.37,-26.88,1,48,-8128.0,0.0,5.29,-22.72,9.92,-22.17,-24.4,74.4,64.0,-0.0,-0.0,6.37,1.0,-11.1,-33.9,-22.29,635.0,-24.4,-5.6,0.0,5106.0
1948-02-18,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-23.3,-9.4,5.8,61.0,660.0,8,-27.2,13.9,1,635.0,635.0,3.0,4928.0,0.0,0.0,74.1,-22.37,-26.88,2,49,-15378.0,0.09,-5.21,-23.13,-0.17,-22.45,-12.8,79.9,81.0,-1421.3,-54.52,-4.89,4.0,-11.7,-33.9,-22.35,659.91,-12.8,-3.9,0.0,4928.0
1948-02-19,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-20.0,0.6,0.8,8.0,660.0,8,-27.2,20.6,1,660.0,635.0,3.0,4724.0,5.8,0.0,74.1,-22.13,-26.88,3,50,-13200.0,0.01,-1.91,-23.4,3.4,-21.84,-23.3,79.9,81.0,-160.0,0.48,-2.86,1.0,-12.8,-33.9,-22.2,659.99,-23.3,-9.4,61.0,4724.0
1948-02-20,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-25.0,0.0,0.0,0.0,660.0,8,-27.2,25.0,0,660.0,660.0,2.0,4520.0,0.8,5.8,72.1,-22.93,-27.24,4,51,-16500.0,0.0,-6.91,-23.77,-1.23,-22.63,-20.0,79.9,91.0,-0.0,0.0,-7.03,1.0,-12.8,-33.9,-22.38,660.0,-20.0,0.6,8.0,4520.0
1948-02-21,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-25.6,-17.8,0.0,0.0,660.0,8,-27.2,7.8,0,660.0,660.0,2.0,4545.0,0.0,0.8,6.6,-23.1,-27.6,5,52,-16896.0,0.0,-7.51,-24.0,-1.6,-23.37,-25.0,78.9,71.0,-0.0,-0.0,-7.75,1.0,-12.8,-33.9,-22.59,660.0,-25.0,0.0,0.0,4545.0
1948-02-22,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-20.6,-15.0,0.0,0.0,635.0,8,-27.2,5.6,0,660.0,660.0,2.0,4545.0,0.0,0.0,6.6,-21.67,-25.24,6,53,-13081.0,0.0,-2.51,-24.02,3.42,-22.68,-25.6,77.4,48.0,-0.0,-0.0,-3.71,1.0,-12.8,-33.9,-22.46,635.0,-25.6,-17.8,0.0,4545.0
1948-02-23,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-21.7,-12.8,0.0,0.0,635.0,9,-27.8,8.9,0,635.0,660.0,2.0,4545.0,0.0,0.0,6.6,-21.29,-25.24,0,54,-13779.5,0.0,-3.61,-24.07,2.37,-22.43,-20.6,77.4,48.0,-0.0,-0.0,-4.51,1.0,-12.8,-33.9,-22.41,635.0,-20.6,-15.0,0.0,4545.0
1948-02-24,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-15.0,-8.3,0.0,0.0,610.0,9,-27.8,6.7,0,635.0,635.0,2.0,4520.0,0.0,0.0,6.6,-21.6,-25.24,1,55,-9150.0,0.0,3.09,-23.5,8.5,-20.58,-21.7,77.4,48.0,-0.0,-0.0,2.46,1.0,-12.8,-33.9,-21.93,610.0,-21.7,-12.8,0.0,4520.0
1948-02-25,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-13.3,-6.7,13.7,64.0,635.0,9,-27.8,6.6,1,610.0,635.0,2.0,4495.0,0.0,0.0,14.5,-20.17,-25.24,2,56,-8445.5,0.1,4.79,-22.94,9.64,-18.76,-15.0,88.6,84.0,-851.2,-91.79,3.95,6.0,-12.8,-33.9,-21.38,634.9,-15.0,-8.3,0.0,4495.0
1948-02-26,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-16.1,-12.2,5.3,33.0,635.0,9,-27.8,3.9,1,635.0,610.0,2.0,4470.0,13.7,0.0,19.0,-19.61,-25.24,3,57,-10223.5,0.05,1.99,-23.05,6.95,-18.09,-13.3,93.1,79.0,-531.3,-64.66,2.33,1.0,-12.8,-33.9,-21.04,634.95,-13.3,-6.7,64.0,4470.0
1948-02-27,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-17.8,-12.2,4.1,36.0,660.0,9,-27.8,5.6,1,635.0,635.0,3.0,4470.0,5.3,13.7,23.1,-18.59,-23.26,4,58,-11748.0,0.05,0.29,-23.2,5.4,-18.02,-16.1,95.2,69.0,-640.8,-50.02,-0.01,1.0,-12.8,-33.9,-20.83,659.95,-16.1,-12.2,33.0,4470.0
1948-02-28,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-17.8,-12.2,4.1,46.0,686.0,9,-27.8,5.6,1,660.0,635.0,4.0,4496.0,4.1,5.3,27.2,-17.47,-21.04,5,59,-12210.8,0.07,0.29,-22.83,5.03,-17.96,-17.8,33.8,69.0,-818.8,-50.02,-0.74,1.0,-12.8,-33.9,-20.63,685.93,-17.8,-12.2,36.0,4496.0
1948-02-29,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Winter,-23.3,-13.9,1.0,13.0,711.0,9,-27.8,9.4,1,686.0,660.0,5.0,4572.0,4.1,4.1,28.2,-17.86,-22.34,6,60,-16566.3,0.02,-5.21,-22.52,-0.78,-19.3,-17.8,34.8,69.0,-302.9,-13.9,-2.47,1.0,-12.8,-33.9,-20.8,710.98,-17.8,-12.2,46.0,4572.0
1948-03-01,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-21.7,-14.4,0.0,0.0,686.0,10,-26.7,7.3,0,711.0,686.0,5.0,4623.0,1.0,4.1,28.2,-17.86,-22.34,0,61,-14886.2,0.0,-13.38,-22.43,0.73,-19.9,-17.8,34.8,69.0,-0.0,-0.0,-4.15,1.0,-12.8,-33.9,-20.86,686.0,-23.3,-13.9,13.0,4623.0
1948-03-02,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-16.7,-10.6,1.3,25.0,711.0,10,-26.7,6.1,1,686.0,711.0,6.0,4724.0,0.0,1.0,29.5,-18.1,-22.34,1,62,-11873.7,0.04,-8.38,-22.46,5.76,-19.1,-21.7,36.1,69.0,-417.5,-13.78,0.78,2.0,-12.8,-33.9,-20.59,710.96,-21.7,-14.4,0.0,4724.0
1948-03-03,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-15.0,-10.0,4.8,64.0,762.0,10,-26.7,5.0,1,711.0,686.0,6.0,4851.0,1.3,0.0,20.6,-18.34,-22.34,2,63,-11430.0,0.08,-6.68,-22.37,7.37,-18.07,-16.7,35.1,72.0,-960.0,-48.0,2.87,1.0,-12.8,-33.9,-20.23,761.92,-16.7,-10.6,25.0,4851.0
1948-03-04,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-30.6,-13.3,2.3,36.0,762.0,10,-26.7,17.3,1,762.0,711.0,6.0,4978.0,4.8,1.3,17.6,-20.41,-26.22,3,64,-23317.2,0.05,-22.28,-22.35,-8.25,-21.21,-15.0,36.6,97.0,-1101.6,-30.59,-13.2,1.0,-12.8,-33.9,-20.9,761.95,-15.0,-10.0,64.0,4978.0
1948-03-05,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-30.6,-18.9,0.0,0.0,660.0,10,-26.7,11.7,0,762.0,762.0,5.0,4978.0,2.3,4.8,13.5,-22.24,-30.6,4,65,-20196.0,0.0,-22.28,-22.34,-8.26,-23.55,-30.6,36.6,133.0,-0.0,-0.0,-14.17,1.0,-12.8,-33.9,-21.53,660.0,-30.6,-13.3,36.0,4978.0
1948-03-06,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-23.3,-13.9,0.0,0.0,660.0,10,-26.7,9.4,0,660.0,762.0,4.0,4952.0,0.0,2.3,9.4,-23.03,-30.6,5,66,-15378.0,0.0,-14.98,-22.41,-0.89,-23.49,-30.6,36.6,179.0,-0.0,-0.0,-6.89,1.0,-12.8,-33.9,-21.64,660.0,-30.6,-18.9,0.0,4952.0
1948-03-07,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-15.0,-3.9,2.3,41.0,660.0,10,-26.7,11.1,1,660.0,660.0,4.0,4901.0,0.0,0.0,10.7,-21.84,-30.6,6,67,-9900.0,0.06,-6.68,-22.13,7.13,-21.37,-23.3,38.9,192.0,-615.0,-8.97,1.46,3.0,-12.8,-33.9,-21.21,659.94,-23.3,-13.9,0.0,4901.0
1948-03-08,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-20.0,-6.7,6.4,81.0,686.0,11,-25.0,13.3,1,660.0,660.0,5.0,4901.0,2.3,0.0,17.1,-21.6,-30.6,0,68,-13720.0,0.12,-11.68,-22.02,2.02,-21.03,-15.0,45.3,192.0,-1620.0,-42.88,-3.49,1.0,-12.8,-33.9,-21.13,685.88,-15.0,-3.9,41.0,4901.0
1948-03-09,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-16.7,-11.7,1.3,20.0,686.0,11,-25.0,5.0,1,686.0,660.0,5.0,4876.0,6.4,2.3,17.1,-21.6,-30.6,1,69,-11456.2,0.03,-8.38,-21.52,4.82,-19.94,-20.0,46.6,217.0,-334.0,-15.21,-0.36,1.0,-12.8,-33.9,-20.85,685.97,-20.0,-6.7,81.0,4876.0
1948-03-10,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-12.2,-5.6,0.0,0.0,660.0,11,-25.0,6.6,0,686.0,686.0,4.0,4774.0,1.3,6.4,12.3,-21.2,-30.6,2,70,-8052.0,0.0,-3.88,-20.8,8.6,-18.01,-16.7,32.9,217.0,-0.0,-0.0,3.65,1.0,-12.2,-30.6,-20.29,660.0,-16.7,-11.7,20.0,4774.0
1948-03-11,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-20.0,-12.2,2.8,53.0,711.0,11,-25.0,7.8,1,660.0,686.0,4.0,4723.0,0.0,1.3,12.8,-19.69,-26.22,3,71,-14220.0,0.07,-11.68,-20.6,0.6,-18.51,-12.2,30.4,220.0,-1060.0,-34.16,-3.72,2.0,-12.2,-30.6,-20.27,710.93,-12.2,-5.6,0.0,4723.0
1948-03-12,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-24.4,-18.3,0.0,0.0,711.0,11,-25.0,6.1,0,711.0,660.0,4.0,4774.0,2.8,0.0,12.8,-18.8,-23.74,4,72,-17348.4,0.0,-16.08,-20.63,-3.77,-19.98,-20.0,26.3,184.0,-0.0,-0.0,-7.91,2.0,-12.2,-30.6,-20.54,711.0,-20.0,-12.2,53.0,4774.0
1948-03-13,USW00014755,44.2703,-71.3033,1911.7,NH MT WASHINGTON,Spring,-24.4,-18.3,0.0,0.0,711.0,11,-25.0,6.1,0,711.0,711.0,4.0,4825.0,0.0,2.8,12.8,-18.96,-24.4,5,73,-17348.4,0.0,-16.08,-20.72,-3.68,-21.08,-24.4,22.2,138.0,-0.0,-0.0,-8.91,2.0,-12.2,-30.6,-20.79,711.0,-24.4,-18.3,0.0,4825.0
