ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31,Season
USW00014745,2010,6,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,Summer
USW00014745,2010,7,WT09,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Summer
USW00014745,2010,8,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Summer
USW00014745,2010,9,WT09,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,Fall
USW00014745,2010,10,WT09,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,Fall
USW00014745,2010,12,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Winter
USW00014745,2011,1,WT09,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Winter
USW00014745,2011,3,WT09,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring
USW00014745,2013,2,WT09,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Winter
USW00014745,2015,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Winter
USW00014745,2015,2,WT09,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,Winter
USW00014745,2016,1,WT09,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2016,12,WT09,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Winter
USW00014745,2017,2,WT09,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2018,1,WT09,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2018,2,WT09,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter
USW00014745,2019,1,WT09,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Winter
USW00014745,2022,1,WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,Winter
